Week,Avg Temp (°C),Total Rainfall (mm),Avg Humidity (%)
1,27.185357142857146,253.74,88.97892857142857
2,27.050714285714285,294.69,88.80071428571429
3,26.905714285714286,59.769999999999996,85.96571428571428
4,25.177142857142858,53.18,85.04857142857144
