Week,Avg Temp (°C),Total Rainfall (mm),Avg Humidity (%)
1,33.44607142857143,51.370000000000005,54.847142857142856
2,29.758928571428573,188.81,79.2467857142857
3,28.047500000000003,218.75,85.23928571428571
4,27.216785714285717,402.63,90.10214285714287
