Week,Avg Temp (°C),Total Rainfall (mm),Avg Humidity (%)
1,26.581071428571427,169.37,88.63214285714285
2,26.420357142857142,35.78,85.4725
3,26.80535714285714,3.12,79.16678571428572
4,28.285357142857144,0.0,67.57642857142858
